transaction_id,account_id,bank,account_type,timestamp,date,merchant_raw,merchant,category,amount_sar,direction,currency
TXN-1012,ACC-SNB-003,Saudi National Bank,Savings,2025-06-01 22:36,2025-06-01,STARBUCKS  RIYADH SA,Starbucks,Food & Dining,35.03,debit,SAR
TXN-1013,ACC-SNB-003,Saudi National Bank,Savings,2025-06-02 01:18,2025-06-02,DANUBE  RIYADH SA,Danube,Groceries,136.77,debit,SAR
TXN-1015,ACC-SNB-003,Saudi National Bank,Savings,2025-06-02 23:36,2025-06-02,CAREEM  RIYADH SA,Careem,Transport,34.25,debit,SAR
TXN-1014,ACC-SNB-003,Saudi National Bank,Savings,2025-06-03 02:06,2025-06-03,DUNKIN  RIYADH SA,Dunkin,Food & Dining,27.89,debit,SAR
TXN-1016,ACC-SNB-003,Saudi National Bank,Savings,2025-06-05 11:23,2025-06-05,ADNOC STATION  RIYADH SA,ADNOC Station,Transport,115.87,debit,SAR
TXN-1017,ACC-ALINMA-001,Alinma Bank,Current,2025-06-06 06:33,2025-06-06,CAREEM  RIYADH SA,Careem,Transport,20.01,debit,SAR
TXN-1018,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-06 23:07,2025-06-06,EXTRA STORES  RIYADH SA,Extra Stores,Shopping,991.65,debit,SAR
TXN-1019,ACC-SNB-003,Saudi National Bank,Savings,2025-06-07 12:26,2025-06-07,TAMIMI MARKETS  RIYADH SA,Tamimi Markets,Groceries,135.28,debit,SAR
TXN-1021,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-08 23:17,2025-06-08,PETROMIN  RIYADH SA,Petromin,Transport,62.91,debit,SAR
TXN-1020,ACC-SNB-003,Saudi National Bank,Savings,2025-06-09 08:38,2025-06-09,ADNOC STATION  RIYADH SA,ADNOC Station,Transport,100.81,debit,SAR
TXN-1022,ACC-SNB-003,Saudi National Bank,Savings,2025-06-10 11:18,2025-06-10,DUNKIN  RIYADH SA,Dunkin,Food & Dining,29.88,debit,SAR
TXN-1023,ACC-SNB-003,Saudi National Bank,Savings,2025-06-10 11:22,2025-06-10,TAMIMI MARKETS  RIYADH SA,Tamimi Markets,Groceries,100.98,debit,SAR
TXN-1024,ACC-ALINMA-001,Alinma Bank,Current,2025-06-11 01:47,2025-06-11,STC  RIYADH SA,STC,Utilities,291.83,debit,SAR
TXN-1025,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-12 11:25,2025-06-12,NETFLIX  RIYADH SA,Netflix,Entertainment,31.18,debit,SAR
TXN-1027,ACC-SNB-003,Saudi National Bank,Savings,2025-06-13 02:09,2025-06-13,AMC CINEMAS  RIYADH SA,AMC Cinemas,Entertainment,65.09,debit,SAR
TXN-1026,ACC-ALINMA-001,Alinma Bank,Current,2025-06-13 10:22,2025-06-13,CENTREPOINT  RIYADH SA,Centrepoint,Shopping,181.88,debit,SAR
TXN-1028,ACC-ALINMA-001,Alinma Bank,Current,2025-06-13 21:09,2025-06-13,HERFY  RIYADH SA,Herfy,Food & Dining,36.41,debit,SAR
TXN-1030,ACC-SNB-003,Saudi National Bank,Savings,2025-06-15 09:25,2025-06-15,UBER  RIYADH SA,Uber,Transport,41.75,debit,SAR
TXN-1029,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-15 13:39,2025-06-15,ADNOC STATION  RIYADH SA,ADNOC Station,Transport,174.37,debit,SAR
TXN-1031,ACC-ALINMA-001,Alinma Bank,Current,2025-06-15 23:13,2025-06-15,MOBILY  RIYADH SA,Mobily,Utilities,100.89,debit,SAR
TXN-1032,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-16 00:00,2025-06-16,THE CHEESECAKE FACTORY  RIYADH SA,The Cheesecake Factory,Food & Dining,168.09,debit,SAR
TXN-1033,ACC-SNB-003,Saudi National Bank,Savings,2025-06-16 23:55,2025-06-16,THE CHEESECAKE FACTORY  RIYADH SA,The Cheesecake Factory,Food & Dining,169.79,debit,SAR
TXN-1034,ACC-ALINMA-001,Alinma Bank,Current,2025-06-17 08:38,2025-06-17,CAREEM  RIYADH SA,Careem,Transport,47.09,debit,SAR
TXN-1036,ACC-RAJHI-002,Al Rajhi Bank,Current,2025-06-18 07:47,2025-06-18,DANUBE  RIYADH SA,Danube,Groceries,156.79,debit,SAR
TXN-1035,ACC-ALINMA-001,Alinma Bank,Current,2025-06-18 11:30,2025-06-18,MAESTRO PIZZA  RIYADH SA,Maestro Pizza,Food & Dining,94.62,debit,SAR
TXN-1037,ACC-SNB-003,Saudi National Bank,Savings,2025-06-19 13:23,2025-06-19,AL BAIK  RIYADH SA,Al Baik,Food & Dining,34.23,debit,SAR
TXN-1038,ACC-SNB-003,Saudi National Bank,Savings,2025-06-19 23:44,2025-06-19,SPOTIFY  RIYADH SA,Spotify,Entertainment,15.38,debit,SAR
TXN-1041,ACC-ALINMA-001,Alinma Bank,Current,2025-06-21 03:33,2025-06-21,H&M  RIYADH SA,H&M,Shopping,262.8,debit,SAR
TXN-1040,ACC-SNB-003,Saudi National Bank,Savings,2025-06-21 03:51,2025-06-21,EXTRA STORES  RIYADH SA,Extra Stores,Shopping,1027.37,debit,SAR
TXN-1039,ACC-SNB-003,Saudi National Bank,Savings,2025-06-21 04:34,2025-06-21,DANUBE  RIYADH SA,Danube,Groceries,248.05,debit,SAR
TXN-1043,ACC-ALINMA-001,Alinma Bank,Current,2025-06-22 08:23,2025-06-22,ADNOC STATION  RIYADH SA,ADNOC Station,Transport,113.67,debit,SAR
TXN-1042,ACC-SNB-003,Saudi National Bank,Savings,2025-06-22 12:16,2025-06-22,AL BAIK  RIYADH SA,Al Baik,Food & Dining,60.56,debit,SAR
